power_regime,interval_s,frequency_band,NM_mean_kW,Cherenkov_mean_kW,NM_absolute_RMS_kW,Cherenkov_absolute_RMS_kW,Cherenkov_to_NM_absolute_RMS_ratio
Low power,3954-4232,0.01-0.1 Hz,100.118267,96.702335,1.042966,1.170172,1.121965
Low power,3954-4232,0.1-1 Hz,100.118267,96.702335,1.462014,1.371527,0.938108
Low power,3954-4232,1-4.5 Hz,100.118267,96.702335,0.25586,0.606581,2.370754
Low power,3954-4232,0.01-4.5 Hz,100.118267,96.702335,2.280501,2.363256,1.036288
Mid power,2418-2723,0.01-0.1 Hz,575.327106,573.91948,3.325718,2.209213,0.664281
Mid power,2418-2723,0.1-1 Hz,575.327106,573.91948,4.364322,2.031694,0.465523
Mid power,2418-2723,1-4.5 Hz,575.327106,573.91948,1.097885,1.445432,1.316561
Mid power,2418-2723,0.01-4.5 Hz,575.327106,573.91948,6.198164,3.646273,0.588283
High power,850-1160,0.01-0.1 Hz,898.395034,901.239844,6.562518,6.128118,0.933806
High power,850-1160,0.1-1 Hz,898.395034,901.239844,8.027197,4.57529,0.569974
High power,850-1160,1-4.5 Hz,898.395034,901.239844,1.722631,2.18077,1.265953
High power,850-1160,0.01-4.5 Hz,898.395034,901.239844,12.075393,9.273601,0.767975
