interval,NM_mean_kW,NM_std_kW,NM_relative_noise_percent,poly3_mean_kW,poly3_std_kW,poly3_relative_noise_percent,N_samples
60-500,0.0,0.0,228.3614,0.1778,1.1743,660.5098,4401
3954-4232,100.1183,2.3015,2.2988,96.7023,3.0815,3.1866,2781
3658-3929,188.6769,2.4859,1.3175,187.5803,1.9511,1.0402,2711
3355-3627,290.0026,2.9987,1.034,289.4633,2.9326,1.0131,2721
3051-3331,392.131,5.3254,1.3581,396.8353,3.6355,0.9161,2801
2747-3034,494.4639,7.5954,1.5361,495.4535,5.2356,1.0567,2871
2418-2723,575.3271,7.1442,1.2418,573.9195,4.7448,0.8267,3051
2095-2389,635.7851,8.0793,1.2708,635.253,4.9193,0.7744,2941
1790-2078,749.547,9.5073,1.2684,745.8801,5.8913,0.7898,2881
1490-1777,797.2748,10.918,1.3694,796.705,7.509,0.9425,2871
1167-1470,847.6899,11.2457,1.3266,847.3943,7.8875,0.9308,3031
850-1160,898.395,14.4017,1.603,901.2398,12.427,1.3789,3101
